Date,Time,Observer,SCAN_n,Weather,Group (1 = West; 2 = East),VC,FC,LC,RGSC,PC,SUM_C,VS,FS,LS,RGSS,PS,SUM_S
23/06/2015,09:15,GB,1,lc,2,5,1,2,2,0,10,7,1,3,0,0,11
23/06/2015,10:05,GB,2,lc,2,6,1,0,0,5,12,2,6,1,0,0,9
23/06/2015,11:36,GB,3,lc,2,1,6,5,2,2,16,8,1,1,0,0,10
23/06/2015,14:20,GB,4,c,2,4,4,3,1,3,15,3,1,6,0,0,10
24/06/2015,15:10,GB,5,c,2,8,2,1,6,0,17,3,1,4,5,0,13
24/06/2015,16:00,GB,6,c,2,1,6,1,0,7,15,7,1,6,0,0,14
25/06/2015,12:09,GB,7,o/r,2,4,1,0,7,0,12,10,0,2,1,0,13
25/06/2015,13:15,GB,8,o/r,2,3,4,4,0,3,14,2,1,4,2,0,9
25/06/2015,14:05,GB,9,o/r,2,3,2,11,0,0,16,7,1,5,3,0,16
25/06/2015,15:07,GB,10,o,2,5,5,4,0,0,14,7,2,4,0,0,13
02/07/2015,10:15,GB,11,c,2,10,2,2,1,0,15,5,2,2,1,0,10
02/07/2015,11:05,GB,12,c,2,5,5,0,3,3,16,7,0,3,0,0,10
02/07/2015,12:00,GB,13,c,2,7,0,5,1,0,13,7,4,1,0,0,12
02/07/2015,12:48,GB,14,c,2,9,4,3,1,0,17,7,4,1,0,0,12
02/07/2015,14:19,GB,15,c,2,13,1,1,2,0,17,12,1,1,1,2,17
02/07/2015,15:10,GB,16,c,2,6,7,1,1,0,15,11,1,3,0,0,15
03/07/2015,10:08,GB,17,s,2,7,7,3,0,0,17,6,3,1,0,0,10
03/07/2015,10:53,GB,18,s,2,3,9,1,0,2,15,9,2,3,0,0,14
03/07/2015,12:44,GB,20,lc,2,10,4,2,0,0,16,6,5,2,0,1,14
03/07/2015,13:40,GB,20,lc,2,10,3,0,3,0,16,9,2,1,1,0,13
07/07/2015,10:21,GB,21,c,2,10,2,1,0,3,16,4,5,3,5,0,17
07/07/2015,11:13,GB,22,lc,2,5,7,4,0,0,16,8,3,3,1,0,15
07/07/2015,12:21,GB,24,c,2,9,5,1,1,1,17,8,5,4,0,0,17
07/07/2015,13:10,GB,24,lc,2,4,11,2,0,0,17,4,4,3,3,0,14
07/07/2015,14:00,GB,25,o/r,2,4,7,4,0,2,17,8,2,0,5,0,15
08/07/2015,11:05,GB,26,o,2,6,9,2,0,0,17,7,1,3,2,0,13
08/07/2015,11:59,GB,27,o/r,2,12,3,2,0,0,17,4,0,2,9,0,15
08/07/2015,12:49,GB,28,lc,2,10,4,1,0,2,17,5,0,7,4,0,16
08/07/2015,14:06,GB,29,c,2,6,3,2,0,5,16,12,0,1,0,0,13
08/07/2015,14:55,GB,30,o/r,2,11,2,1,0,3,17,11,1,2,0,0,14
15/07/2015,11:15,GB,31,o,2,6,6,0,0,3,15,5,0,4,5,0,14
15/07/2015,12:05,GB,32,c,2,12,2,1,2,0,17,10,0,1,4,0,15
15/07/2015,13:10,GB,33,c,2,10,6,0,0,0,16,13,2,1,1,0,17
15/07/2015,14:00,GB,34,lc,2,6,6,2,0,3,17,11,1,0,0,0,12
15/07/2015,15:02,GB,35,c,2,16,1,0,0,0,17,12,2,0,0,0,14
16/07/2015,11:02,GB,36,lc,2,3,11,3,0,0,17,4,5,4,2,0,15
16/07/2015,11:52,GB,37,lc,2,5,4,4,4,0,17,12,1,1,1,0,15
16/07/2015,12:42,GB,38,c,2,14,2,1,0,0,17,7,8,2,0,0,17
16/07/2015,13:42,GB,39,c,2,9,8,0,0,0,17,12,0,3,0,0,15
16/07/2015,14:32,GB,40,lc,2,10,4,1,0,2,17,10,0,5,0,0,15
27/07/2015,10:56,GB,41,o/r,2,11,1,3,0,2,17,10,0,0,2,0,12
27/07/2015,11:46,GB,42,o/r,2,9,4,4,0,0,17,13,0,1,3,0,17
27/07/2015,12:47,GB,43,o/r,2,9,2,4,2,0,17,4,11,2,0,0,17
27/07/2015,13:37,GB,44,o,2,11,0,0,0,0,11,10,0,0,3,0,13
27/07/2015,14:38,GB,45,o,2,9,1,0,0,5,15,9,4,3,0,0,16
30/07/2015,10:50,GB,46,c,2,6,7,0,0,4,17,9,2,3,1,0,15
30/07/2015,11:40,GB,47,c,2,5,5,2,4,1,17,5,1,4,4,0,14
30/07/2015,12:50,GB,48,c,2,4,10,1,0,0,15,8,2,3,0,0,13
30/07/2015,13:40,GB,49,c,2,8,5,0,0,3,16,5,3,2,2,0,12
30/07/2015,14:30,GB,50,c,2,9,5,0,0,3,17,15,0,2,0,0,17
03/08/2015,11:01,GB,51,lc,2,6,4,2,5,0,17,4,0,1,6,0,11
